name,lat,long,facility_type,ownership,emergency_beds_x,ambulance_available_x,emergency_beds_y,ambulance_available_y
Aggarwal Speciality Clinic,18.5578419,73.9089308,private clinic,Private,,,,
Spark The Skin Hair Laser Clinic,18.5582664,73.9280038,private clinic,Private,,,,
Ashwini Eye Care Clinic,18.5584909,73.7918017,private clinic,Private,,,,
ENT & Vertigo Clinic,18.5587283,73.7912102,private clinic,Private,,,,
Elite Dental Clinic,18.5599961,73.789163,private clinic,Private,,,,
Skin City India - Skin Care and Hair Fall Treatment Specialist in Aundh,18.560076,73.809611,private clinic,Private,,,,
"Dr. Ravi Kothari, Sparsh Skin Care Clinic",18.560391,73.808357,private clinic,Private,,,,
Divya Eye Clinic,18.5604318,73.8126775,private clinic,Private,,,,
Dr. Pharande's Orthodontic & Dental Clinic,18.5605554,73.8045591,private clinic,Private,,,,
Women's Clinic,18.5610659,73.8129524,private clinic,Private,,,,
Mrunmayee Health Cear Pvt. Ltd.(Sangamnerkar Hospital),18.561147,73.92141073,private hospital,Private,,,,
Dental Hub - Orthodontic Dental Clinic Baner Pune,18.561429,73.785913,private clinic,Private,,,,
Smile Essentials Family Dental Clinic,18.5617281,73.9492295,private clinic,Private,,,,
Skin Specialist in pune Viman Nagar clinic,18.561823,73.920425,private clinic,Private,,,,
Vishwa Multispeciality Clinic & Diagnostics,18.5618806,73.7854531,private clinic,Private,,,,
Kotbagi  Hospital Pvt. Ltd.,18.5619453,73.8048489,private hospital,Private,N.A.,N.A.,N.A.,N.A.
Dispensary Clinic,18.5623609,73.8029859,Dispensary,Government,,,,
Medipoint Hospitalnan,18.5626131,73.93375615,private hospital,Private,,,,
K.Baburao Genba Shewale Dispensary,18.562649,73.832739,Dispensary,Government,,,,
