name,lat,long,facility_type,ownership,emergency_beds_x,ambulance_available_x,emergency_beds_y,ambulance_available_y,hospital_name_clean,insurance_networks
Renu Hospital,18.5719383,73.83759855,private hospital,Private,,,,,renu hospital,"['TATA AIG', 'Care Health', 'HDFC ERGO', 'Aditya Birla']"
"Siddharth Dawakhana, Vishrantwadi",18.572164,73.878738,Government hospital(PMC),Government,,,,,siddharth dawakhana vishrantwadi,[]
Dr Poonam's ENT Clinic,18.5740712,73.7767044,private clinic,Private,,,,,dr poonams ent clinic,[]
HealthBay Clinic,18.574537,73.773599,private clinic,Private,,,,,healthbay clinic,[]
Arogya diagnostic clinic,18.5750263,73.7697739,private clinic,Private,,,,,arogya diagnostic clinic,[]
Spandan Clinic,18.57594,73.892962,private clinic,Private,,,,,spandan clinic,[]
Khrist. Rok Edward Poul Dawakhana,18.577003,73.899032,Government hospital(PMC),Government,,,,,khrist rok edward poul dawakhana,[]
Dr AD Upadhyay's clinic DGCA Class I Medical Examiner,18.577979,73.894043,private clinic,Private,,,,,dr ad upadhyays clinic dgca class i medical examiner,[]
Late. Genba Tukaram Mhaske Dawakhana,18.578015,73.874962,Government hospital(PMC),Government,,,,,late genba tukaram mhaske dawakhana,[]
Ct Nursing Homenan,18.59711,73.90164403,private hospital,Private,,,,,ct nursing homenan,[]
